texto,label
Precisamos esclarecer a atualização do sistema para o pedido PED-2023-5763 até 15/07.,1
Solicito o envio da nota fiscal NF-50351 até sexta-feira.,1
Favor retornar o build o quanto antes.,1
Publicamos as changelog; obrigado a todos pelo apoio. Obrigado!,0
Sem pendências no momento; bom trabalho a todos. Att.,0
Solicito o envio da nota fiscal NF-90387 até o próximo dia útil!,1
Podem enviar o status do pedido referente ao ticket #4302 ainda hoje.,1
Changelog 7.9 publicado. Sem necessidade de retorno. Abs.,0
Apenas informando: atualizações do produto disponível. Obrigada!,0
Mensagem automática de confirmação de cadastro! Abs.,0
Para conhecimento: release notes publicada. Não requer ação! Abraços,0
Sem pendências no momento; bom trabalho a todos… Obrigado!,0
Bem-vindos ao time os novos integrantes. Att.,0
Changelog 1.8 publicado. Sem necessidade de retorno. Abraços,0
Notas rápidas: atualizações do produto referente à última sprint. Abs.,0
Publicamos as status update; obrigado a todos pelo apoio.,0
Publicamos as boletim; obrigado a todos pelo apoio. Obrigado!,0
Precisamos publicar o ticket para o pedido PED-2023-6676 até 23/05!,1
Podem reembolsar o ambiente de produção referente ao ticket #363 com urgência.,1
Estou com falta de espaço em disco; conseguem reembolsar o contrato? Ref.: #5530,1
Poderiam confirmar o ticket até o fim do dia.,1
Parabéns pelo lançamento da versão 2.5! Excelente trabalho do time. Bom trabalho a todos,0
Segue a changelog da semana com os principais destaques do produto.,0
Solicito o ambiente de produção em até 24h.,1
Para conhecimento: status update publicada. Não requer ação… Abraços,0
Solicito o envio da nota fiscal NF-90137 até o próximo dia útil!,1
Mensagem automática de confirmação de cadastro.,0
Oi! Compartilhando o resumo semanal do time…,0
Para conhecimento: notas de versão publicada. Não requer ação!,0
Mensagem automática de confirmação de cadastro. Obrigada!,0
Poderiam confirmar as permissões de acesso até amanhã. Att.,1
Sem pendências no momento; bom trabalho a todos… Abs.,0
Apenas informando: notas de versão disponível. Obrigada!,0
Conseguem ajustar a fatura o quanto antes? Prioridade alta!,1
Parabéns a todos pelo release 1.8!.,0
Para conhecimento: boletim publicada. Não requer ação. Att.,0
Solicito o ambiente de homologação assim que possível.,1
Preciso que desbloquear o certificado SSL o quanto antes!,1
Precisamos renovar o chamado para o pedido PED-2024-3383 até 08/11!,1
Conseguem reagendar o DNS até 17h? Alta prioridade.,1
Para conhecimento: release notes publicada. Não requer ação. Bom trabalho a todos,0
Prezados! Compartilhando o resumo semanal do time. Abs.,0
Solicito o envio da nota fiscal NF-27255 com urgência!,1
"Prezados, poderiam regularizar a atualização do sistema ainda hoje, quando puderem.",1
Parabéns pelo lançamento da versão 1.6! Excelente trabalho do time.,0
Solicito o deploy até 17h!,1
Só passando para desejar uma ótima semana…,0
Favor validar o deploy até 17h.,1
Notas rápidas: atualizações do produto referente à última sprint! Abraços,0
Solicito o contrato com urgência…,1
Notas rápidas: release notes referente à última sprint! Abs.,0
Preciso que verificar o status do pedido até sexta-feira!,1
Poderiam confirmar o contrato até 17h…,1
"Boa tarde, poderiam substituir o build o quanto antes, quando puderem.",1
Podem liberar a configuração do servidor referente ao ticket #5403 em até 24h.,1
Changelog 5.6 publicado. Sem necessidade de retorno.,0
Changelog 5.2 publicado. Sem necessidade de retorno.,0
Solicito o envio da nota fiscal NF-93678 até sexta-feira!,1
Conseguem desbloquear as permissões de acesso até amanhã? Prioridade alta.,1
Apenas informando: resumo semanal disponível!,0
Precisamos esclarecer o boleto para o pedido PED-2025-8652 até 05/12.,1
"Bom dia, pessoal! Obrigado pela ajuda de ontem. Att.",0
Changelog 6.5 publicado. Sem necessidade de retorno.,0
"Boa noite, pessoal! Obrigado pela ajuda de ontem! Abraços",0
Precisamos substituir o deploy para o pedido PED-2023-2123 até 15/01!,1
Solicito a integração até sexta-feira.,1
Mensagem automática de confirmação de cadastro. Até mais,0
Fala pessoal! Compartilhando o resumo semanal do time. Obrigada!,0
Para conhecimento: resumo semanal publicada. Não requer ação…,0
Publicamos as status update; obrigado a todos pelo apoio. Obrigado!,0
Só passando para desejar uma ótima semana. Obrigado!,0
Apenas informando: status update disponível…,0
Solicito o envio da nota fiscal NF-77958 o quanto antes…,1
Bem-vindos ao time os novos integrantes. Obrigado!,0
"Olá, poderiam resetar o ticket até o próximo dia útil, por gentileza.",1
Solicito o envio da nota fiscal NF-13028 para esta semana.,1
Solicito o status do pedido até amanhã.,1
Precisamos regularizar o orçamento para o pedido PED-2022-6395 até 15/12…,1
Favor confirmar o ambiente de produção até sexta-feira.,1
Parabéns a todos pelo release 1.6!!,0
Notas rápidas: resumo semanal referente à última sprint! Obrigada!,0
Podem priorizar o contrato referente ao ticket #9340 para esta semana!,1
"Boa tarde, poderiam autorizar o backup com urgência, se possível…",1
"Boa tarde, poderiam implantar a fatura ainda hoje, quando puderem!",1
"Fala pessoal, poderiam liberar o banco de dados assim que possível, se possível.",1
Favor implantar o certificado SSL para esta semana.,1
"Bom dia, pessoal! Obrigado pela ajuda de ontem.",0
Publicamos as changelog; obrigado a todos pelo apoio… Obrigada!,0
Changelog 6.2 publicado. Sem necessidade de retorno…,0
Preciso que anexar o orçamento para esta semana…,1
"Boa noite, pessoal! Obrigado pela ajuda de ontem. Abs.",0
Favor reagendar o certificado SSL até sexta-feira…,1
Publicamos as atualizações do produto; obrigado a todos pelo apoio! Obrigada!,0
Mensagem automática de confirmação de cadastro! Bom trabalho a todos,0
Apenas informando: atualizações do produto disponível.,0
"Bom dia, pessoal! Obrigado pela ajuda de ontem…",0
Solicito o envio da nota fiscal NF-75107 ainda hoje.,1
Favor habilitar o deploy até amanhã.,1
Favor renovar a integração em até 24h.,1
Parabéns a todos pelo release 7.3!.,0
Preciso que instalar o DNS até 17h…,1
"Boa tarde, poderiam habilitar a fatura até 17h, quando puderem.",1
Podem notificar o webhook referente ao ticket #8490 assim que possível!,1
Parabéns pelo lançamento da versão 6.4! Excelente trabalho do time.,0
Precisamos investigar o banco de dados para o pedido PED-2019-7568 até 14/03.,1
Bom dia! Compartilhando o resumo semanal do time. Até mais,0
Parabéns pelo lançamento da versão 1.0! Excelente trabalho do time.,0
Solicito o pipeline de CI/CD com urgência…,1
Publicamos as notas de versão; obrigado a todos pelo apoio! Até mais,0
Solicito a atualização do sistema até amanhã.,1
Solicito o cadastro assim que possível.,1
Atualização interna: tarefas concluídas; nenhum retorno necessário. Att.,0
Segue a atualizações do produto da semana com os principais destaques do produto… Att.,0
Precisamos reembolsar o webhook para o pedido PED-2024-7329 até 10/08.,1
Oi! Compartilhando o resumo semanal do time. Obrigado!,0
Podem investigar o chamado referente ao ticket #3958 o quanto antes!,1
Estou com divergência de dados; conseguem reativar o documento? Ref.: #7086,1
Precisamos aprovar o DNS para o pedido PED-2025-869 até 15/01!,1
Favor cancelar o DNS assim que possível.,1
"Olá, poderiam emitir o ambiente de homologação até sexta-feira, por gentileza!",1
Estou com loop de redirecionamento; conseguem esclarecer o cadastro? Ref.: #7097,1
Solicito o certificado SSL em até 24h…,1
"Registro de reunião: tudo certo, próximos passos já definidos internamente. Até mais",0
Para conhecimento: atualizações do produto publicada. Não requer ação. Obrigada!,0
Publicamos as newsletter; obrigado a todos pelo apoio… Até mais,0
Para conhecimento: resumo semanal publicada. Não requer ação. Abraços,0
Para conhecimento: atualizações do produto publicada. Não requer ação… Att.,0
Segue a notas de versão da semana com os principais destaques do produto… Obrigada!,0
Preciso que emitir o build até amanhã.,1
Solicito a integração até 17h…,1
Parabéns pelo lançamento da versão 5.7! Excelente trabalho do time.,0
Solicito o envio da nota fiscal NF-62676 ainda hoje!,1
Conseguem reagendar o chamado ainda hoje? Prioridade alta…,1
Boa tarde! Compartilhando o resumo semanal do time!,0
Changelog 4.8 publicado. Sem necessidade de retorno.,0
Preciso que autorizar o pipeline de CI/CD até o fim do dia!,1
Sem pendências no momento; bom trabalho a todos! Abs.,0
Poderiam confirmar o chamado até o próximo dia útil.,1
Notas rápidas: newsletter referente à última sprint… Obrigada!,0
Parabéns a todos pelo release 2.7!!,0
Time! Compartilhando o resumo semanal do time…,0
Solicito o deploy para esta semana…,1
Parabéns a todos pelo release 4.7!!,0
Solicito o envio da nota fiscal NF-34242 até amanhã.,1
Oi! Compartilhando o resumo semanal do time! Obrigado!,0
Podem validar o relatório financeiro referente ao ticket #8358 até sexta-feira…,1
"Time, poderiam revisar a nota fiscal ainda hoje, por favor.",1
Precisamos investigar o deploy para o pedido PED-2021-5429 até 10/07.,1
Solicito a fatura assim que possível.,1
Solicito o comprovante de pagamento o quanto antes.,1
Parabéns pelo lançamento da versão 4.2! Excelente trabalho do time!,0
Parabéns a todos pelo release 7.9!. Obrigado!,0
Sem pendências no momento; bom trabalho a todos. Obrigada!,0
Podem aprovar o backup referente ao ticket #9791 ainda hoje!,1
Solicito o envio da nota fiscal NF-40053 até o fim do dia.,1
Bem-vindos ao time os novos integrantes! Obrigada!,0
"Prezados, pessoal! Obrigado pela ajuda de ontem!",0
Sem pendências no momento; bom trabalho a todos. Abraços,0
Boa tarde! Compartilhando o resumo semanal do time. Obrigada!,0
Changelog 7.1 publicado. Sem necessidade de retorno. Obrigado!,0
Solicito o relatório financeiro com urgência!,1
Publicamos as atualizações do produto; obrigado a todos pelo apoio! Att.,0
"Prezados, pessoal! Obrigado pela ajuda de ontem. Bom trabalho a todos",0
Publicamos as boletim; obrigado a todos pelo apoio. Até mais,0
Solicito o certificado SSL assim que possível.,1
Publicamos as changelog; obrigado a todos pelo apoio… Obrigado!,0
"Prezados, pessoal! Obrigado pela ajuda de ontem…",0
Para conhecimento: status update publicada. Não requer ação. Bom trabalho a todos,0
Solicito o envio da nota fiscal NF-80715 até o próximo dia útil.,1
Podem reembolsar o comprovante de pagamento referente ao ticket #8379 até o próximo dia útil!,1
Parabéns pelo lançamento da versão 5.6! Excelente trabalho do time…,0
Preciso que regularizar o deploy até 17h…,1
Notas rápidas: changelog referente à última sprint. Obrigado!,0
Apenas informando: notas de versão disponível. Bom trabalho a todos,0
Parabéns pelo lançamento da versão 6.5! Excelente trabalho do time! Att.,0
Podem revisar a integração referente ao ticket #5983 ainda hoje!,1
Favor renovar o ticket com urgência…,1
Bem-vindos ao time os novos integrantes… Obrigada!,0
Podem substituir o relatório financeiro referente ao ticket #1019 até o próximo dia útil.,1
Poderiam confirmar o status do pedido assim que possível…,1
Precisamos esclarecer o documento para o pedido PED-2024-4481 até 19/06.,1
Segue a release notes da semana com os principais destaques do produto. Até mais,0
Solicito o envio da nota fiscal NF-84266 o quanto antes.,1
Solicito o orçamento até sexta-feira.,1
"Fala pessoal, poderiam aprovar o contrato ainda hoje, quando puderem!",1
Solicito o envio da nota fiscal NF-84967 até amanhã.,1
Podem aprovar o ticket referente ao ticket #8171 assim que possível…,1
Notas rápidas: resumo semanal referente à última sprint.,0
Boa tarde! Compartilhando o resumo semanal do time…,0
"Olá, poderiam resetar o pipeline de CI/CD assim que possível, por gentileza!",1
Parabéns a todos pelo release 1.1!… Bom trabalho a todos,0
Poderiam confirmar a proposta em até 24h.,1
Estou com lentidão no sistema; conseguem autorizar o relatório financeiro? Ref.: #7606,1
Parabéns pelo lançamento da versão 4.2! Excelente trabalho do time.,0
"Boa tarde, pessoal! Obrigado pela ajuda de ontem!",0
Precisamos resetar o chamado para o pedido PED-2025-6121 até 11/12.,1
Só passando para desejar uma ótima semana… Bom trabalho a todos,0
Favor esclarecer o certificado SSL em até 24h!,1
Precisamos desbloquear o build para o pedido PED-2022-9425 até 10/01.,1
Changelog 3.0 publicado. Sem necessidade de retorno. Até mais,0
"Boa noite, pessoal! Obrigado pela ajuda de ontem. Att.",0
Poderiam confirmar o ticket com urgência.,1
Para conhecimento: boletim publicada. Não requer ação! Abraços,0
Poderiam confirmar o contrato até sexta-feira!,1
Parabéns a todos pelo release 4.6!. Abraços,0
Poderiam confirmar a senha provisória até amanhã.,1
Podem priorizar o comprovante de pagamento referente ao ticket #8333 até 17h.,1
Favor substituir o acesso da conta em até 24h…,1
Precisamos renovar o status do pedido para o pedido PED-2024-5632 até 21/11.,1
Parabéns pelo lançamento da versão 1.4! Excelente trabalho do time. Até mais,0
Precisamos agendar o contrato para o pedido PED-2021-4445 até 08/01.,1
Preciso que escalar o build ainda hoje.,1
Precisamos anexar o índice de busca para o pedido PED-2024-5652 até 10/11.,1
Estou com consumo elevado de CPU; conseguem reagendar a atualização do sistema? Ref.: #4001,1
Poderiam confirmar a nota fiscal com urgência…,1
Preciso que notificar a configuração do servidor para esta semana.,1
Preciso que confirmar o build até amanhã!,1
Para conhecimento: changelog publicada. Não requer ação…,0
Solicito a fatura até o fim do dia.,1
Parabéns pelo lançamento da versão 5.2! Excelente trabalho do time…,0
Precisamos substituir o relatório financeiro para o pedido PED-2020-7157 até 09/01.,1
"Prezados, poderiam reembolsar a integração o quanto antes, se possível.",1
Parabéns a todos pelo release 4.2!. Obrigado!,0
Publicamos as release notes; obrigado a todos pelo apoio. Bom trabalho a todos,0
Poderiam confirmar o boleto até o próximo dia útil!,1
Conseguem reagendar a senha provisória com urgência? Alta prioridade…,1
Para conhecimento: release notes publicada. Não requer ação…,0
"Fala pessoal, pessoal! Obrigado pela ajuda de ontem!",0
Preciso que emitir o status do pedido ainda hoje…,1
"Time, poderiam reembolsar a proposta até sexta-feira, assim que puderem!",1
Estou com queda de conexão; conseguem desbloquear o status do pedido? Ref.: #3160,1
Para conhecimento: newsletter publicada. Não requer ação…,0
Bem-vindos ao time os novos integrantes.,0
Só passando para desejar uma ótima semana… Att.,0
Poderiam confirmar a configuração do servidor com urgência!,1
Parabéns pelo lançamento da versão 1.5! Excelente trabalho do time…,0
Para conhecimento: notas de versão publicada. Não requer ação. Obrigada!,0
Para conhecimento: changelog publicada. Não requer ação. Obrigado!,0
Preciso que reativar a fatura até 17h.,1
Poderiam confirmar o orçamento até sexta-feira.,1
Preciso que validar o build para esta semana.,1
Para conhecimento: notas de versão publicada. Não requer ação. Abs.,0
Solicito o certificado SSL ainda hoje…,1
Favor confirmar o DNS em até 24h!,1
Favor liberar o DNS até sexta-feira.,1
Conseguem atualizar o status do pedido com urgência? Com bastante urgência.,1
Publicamos as newsletter; obrigado a todos pelo apoio. Abs.,0
Publicamos as newsletter; obrigado a todos pelo apoio. Obrigado!,0
"Boa noite, poderiam notificar o backup para esta semana, quando puderem.",1
Parabéns pelo lançamento da versão 5.8! Excelente trabalho do time!,0
Mensagem automática de confirmação de cadastro! Obrigada!,0
Solicito o orçamento até o próximo dia útil.,1
Favor escalar a integração com urgência.,1
Poderiam confirmar a proposta em até 24h. Abraços,1
Estou com divergência de dados; conseguem investigar a configuração do servidor? Ref.: #3859,1
Preciso que desbloquear o acesso da conta até 17h.,1
Apenas informando: boletim disponível. Até mais,0
"Registro de reunião: tudo certo, próximos passos já definidos internamente!",0
Time! Compartilhando o resumo semanal do time!,0
Poderiam confirmar o boleto com urgência.,1
Preciso que instalar o DNS em até 24h.,1
"Registro de reunião: tudo certo, próximos passos já definidos internamente! Bom trabalho a todos",0
Parabéns pelo lançamento da versão 7.2! Excelente trabalho do time.,0
Parabéns pelo lançamento da versão 4.7! Excelente trabalho do time…,0
Podem escalar o relatório financeiro referente ao ticket #6578 até o próximo dia útil.,1
Favor ajustar o ambiente de produção assim que possível.,1
Olá! Compartilhando o resumo semanal do time…,0
Poderiam confirmar o documento assim que possível…,1
Publicamos as notas de versão; obrigado a todos pelo apoio. Obrigado!,0
Notas rápidas: notas de versão referente à última sprint…,0
Solicito o envio da nota fiscal NF-27482 assim que possível.,1
Solicito o envio da nota fiscal NF-84038 até sexta-feira!,1
Parabéns pelo lançamento da versão 6.3! Excelente trabalho do time.,0
Favor desbloquear as permissões de acesso assim que possível.,1
Notas rápidas: changelog referente à última sprint. Abraços,0
Favor reembolsar o webhook com urgência. Abs.,1
Notas rápidas: atualizações do produto referente à última sprint!,0
Podem implantar o cadastro referente ao ticket #6012 até amanhã.,1
Solicito o envio da nota fiscal NF-26684 o quanto antes.,1
Solicito o envio da nota fiscal NF-76859 em até 24h!,1
Podem resetar o build referente ao ticket #6458 em até 24h.,1
Solicito o relatório financeiro para esta semana…,1
Segue a newsletter da semana com os principais destaques do produto! Abraços,0
Podem cancelar o banco de dados referente ao ticket #3716 em até 24h.,1
Parabéns pelo lançamento da versão 2.3! Excelente trabalho do time.,0
Estou com divergência de dados; conseguem enviar a proposta? Ref.: #1143,1
Segue a notas de versão da semana com os principais destaques do produto. Obrigada!,0
Parabéns a todos pelo release 5.7!!,0
"Registro de reunião: tudo certo, próximos passos já definidos internamente. Att.",0
Solicito o documento em até 24h…,1
Parabéns a todos pelo release 6.8!.,0
Preciso que retornar o boleto até sexta-feira…,1
Poderiam confirmar o índice de busca até 17h!,1
Estou com lentidão no sistema; conseguem esclarecer o status do pedido? Ref.: #8607,1
"Boa tarde, poderiam anexar o acesso da conta em até 24h, se possível!",1
Publicamos as boletim; obrigado a todos pelo apoio. Att.,0
Apenas informando: notas de versão disponível. Abs.,0
"Oi, poderiam escalar a integração em até 24h, por favor.",1
Precisamos cancelar a atualização do sistema para o pedido PED-2023-4255 até 15/06.,1
"Boa tarde, poderiam enviar o deploy assim que possível, quando puderem!",1
Parabéns pelo lançamento da versão 1.6! Excelente trabalho do time… Att.,0
Solicito o envio da nota fiscal NF-30564 até sexta-feira…,1
Changelog 1.7 publicado. Sem necessidade de retorno… Obrigado!,0
Podem reembolsar o comprovante de pagamento referente ao ticket #3485 até amanhã!,1
Parabéns a todos pelo release 2.6!.,0
Para conhecimento: atualizações do produto publicada. Não requer ação… Obrigado!,0
Solicito o envio da nota fiscal NF-25485 em até 24h.,1
"Oi, poderiam liberar a fatura assim que possível, se possível!",1
Parabéns a todos pelo release 3.9!.,0
Podem autorizar a proposta referente ao ticket #6280 ainda hoje.,1
Estou com lentidão no sistema; conseguem retornar a fatura? Ref.: #5940,1
Estou com erro de permissão; conseguem revisar o acesso da conta? Ref.: #320,1
Parabéns pelo lançamento da versão 2.9! Excelente trabalho do time.,0
Oi! Compartilhando o resumo semanal do time. Abraços,0
Parabéns a todos pelo release 7.1!. Abraços,0
Publicamos as changelog; obrigado a todos pelo apoio… Bom trabalho a todos,0
Preciso que publicar a proposta até o fim do dia…,1
Preciso que cancelar o ambiente de homologação o quanto antes.,1
Preciso que autorizar a configuração do servidor até o próximo dia útil.,1
Changelog 5.9 publicado. Sem necessidade de retorno…,0
Solicito o envio da nota fiscal NF-79258 com urgência!,1
Parabéns a todos pelo release 7.5!.,0
Favor habilitar o webhook até sexta-feira.,1
Estou com lentidão no sistema; conseguem regularizar o status do pedido? Ref.: #2728,1
Parabéns a todos pelo release 3.3!! Obrigada!,0
Conseguem autorizar a configuração do servidor o quanto antes? Caráter emergencial.,1
Parabéns pelo lançamento da versão 5.5! Excelente trabalho do time. Bom trabalho a todos,0
Sem pendências no momento; bom trabalho a todos… Obrigada!,0
Precisamos providenciar a proposta para o pedido PED-2022-367 até 01/11.,1
Podem priorizar o contrato referente ao ticket #8283 até amanhã.,1
Precisamos investigar o build para o pedido PED-2019-322 até 03/12.,1
Preciso que substituir a atualização do sistema com urgência.,1
Parabéns a todos pelo release 4.6!. Bom trabalho a todos,0
Mensagem automática de confirmação de cadastro… Obrigado!,0
Preciso que notificar o laudo técnico em até 24h…,1
Preciso que aprovar o DNS em até 24h!,1
Changelog 4.9 publicado. Sem necessidade de retorno. Abraços,0
Conseguem ajustar o backup em até 24h? Caráter emergencial…,1
Changelog 1.4 publicado. Sem necessidade de retorno. Abraços,0
Apenas informando: boletim disponível. Abs.,0
Precisamos resetar o banco de dados para o pedido PED-2025-1759 até 25/08.,1
Parabéns pelo lançamento da versão 6.4! Excelente trabalho do time! Obrigada!,0
Precisamos cancelar a nota fiscal para o pedido PED-2020-8156 até 06/12!,1
Parabéns a todos pelo release 7.8!.,0
Precisamos verificar a atualização do sistema para o pedido PED-2020-3562 até 14/11…,1
Favor atualizar as permissões de acesso até 17h!,1
Conseguem implantar o deploy até 17h? Com bastante urgência.,1
Atualização interna: tarefas concluídas; nenhum retorno necessário…,0
Parabéns pelo lançamento da versão 6.9! Excelente trabalho do time!,0
Para conhecimento: boletim publicada. Não requer ação. Abs.,0
Precisamos regularizar o banco de dados para o pedido PED-2022-3291 até 14/05…,1
Estou com problema no envio de e-mails; conseguem investigar o documento? Ref.: #3607,1
Solicito o envio da nota fiscal NF-89543 até amanhã…,1
Favor revisar o build até o próximo dia útil.,1
Notas rápidas: resumo semanal referente à última sprint. Abs.,0
"Equipe, pessoal! Obrigado pela ajuda de ontem!",0
Apenas informando: newsletter disponível. Bom trabalho a todos,0
Parabéns pelo lançamento da versão 7.5! Excelente trabalho do time!,0
Para conhecimento: resumo semanal publicada. Não requer ação! Abs.,0
Poderiam confirmar o certificado SSL com urgência…,1
Precisamos retornar a senha provisória para o pedido PED-2021-4231 até 12/11…,1
Estou com erro de autenticação; conseguem implantar o laudo técnico? Ref.: #7759,1
Publicamos as newsletter; obrigado a todos pelo apoio… Att.,0
Favor substituir a proposta com urgência!,1
Preciso que agendar o índice de busca com urgência.,1
Sem pendências no momento; bom trabalho a todos! Até mais,0
Solicito o cadastro até o próximo dia útil.,1
Prezados! Compartilhando o resumo semanal do time. Obrigada!,0
Estou com falha no checkout; conseguem cancelar o chamado? Ref.: #8969,1
Solicito o envio da nota fiscal NF-58565 ainda hoje.,1
Publicamos as notas de versão; obrigado a todos pelo apoio!,0
Podem escalar o webhook referente ao ticket #4240 até sexta-feira.,1
"Boa tarde, pessoal! Obrigado pela ajuda de ontem! Att.",0
Favor habilitar o backup assim que possível.,1
Bom dia! Compartilhando o resumo semanal do time! Bom trabalho a todos,0
Atualização interna: tarefas concluídas; nenhum retorno necessário! Abs.,0
Podem habilitar a proposta referente ao ticket #5584 para esta semana!,1
Publicamos as boletim; obrigado a todos pelo apoio. Abs.,0
Poderiam confirmar o orçamento até 17h.,1
Parabéns pelo lançamento da versão 1.1! Excelente trabalho do time!,0
Estou com bug na tela de login; conseguem autorizar o status do pedido? Ref.: #4454,1
Conseguem investigar o webhook até o próximo dia útil? Prioridade alta!,1
Conseguem reativar o documento o quanto antes? Com bastante urgência.,1
Favor agendar o status do pedido em até 24h.,1
Atualização interna: tarefas concluídas; nenhum retorno necessário. Até mais,0
"Bom dia, pessoal! Obrigado pela ajuda de ontem!",0
Olá! Compartilhando o resumo semanal do time. Obrigado!,0
Solicito a configuração do servidor com urgência.,1
Conseguem desbloquear a proposta com urgência? Prioridade alta.,1
Favor substituir o orçamento em até 24h.,1
Mensagem automática de confirmação de cadastro… Abraços,0
"Fala pessoal, pessoal! Obrigado pela ajuda de ontem. Obrigado!",0
Changelog 1.7 publicado. Sem necessidade de retorno…,0
Estou com timeout na API; conseguem anexar a configuração do servidor? Ref.: #1577,1
Parabéns a todos pelo release 6.3!.,0
Changelog 3.4 publicado. Sem necessidade de retorno. Obrigado!,0
Estou com erro de autenticação; conseguem regularizar o ambiente de homologação? Ref.: #735,1
Solicito o envio da nota fiscal NF-83673 o quanto antes.,1
Sem pendências no momento; bom trabalho a todos! Obrigada!,0
"Fala pessoal, pessoal! Obrigado pela ajuda de ontem! Bom trabalho a todos",0
Parabéns pelo lançamento da versão 1.7! Excelente trabalho do time.,0
Parabéns pelo lançamento da versão 7.7! Excelente trabalho do time.,0
Parabéns a todos pelo release 2.0!.,0
Fala pessoal! Compartilhando o resumo semanal do time! Bom trabalho a todos,0
Parabéns a todos pelo release 4.0!.,0
Poderiam confirmar a configuração do servidor até sexta-feira.,1
Solicito o backup até 17h!,1
Podem resetar o acesso da conta referente ao ticket #7219 até 17h.,1
Precisamos priorizar a proposta para o pedido PED-2022-5363 até 08/09.,1
Apenas informando: release notes disponível…,0
Bom dia! Compartilhando o resumo semanal do time…,0
Notas rápidas: changelog referente à última sprint! Obrigada!,0
Poderiam confirmar o índice de busca ainda hoje!,1
"Equipe, pessoal! Obrigado pela ajuda de ontem. Bom trabalho a todos",0
Changelog 4.9 publicado. Sem necessidade de retorno.,0
Segue a status update da semana com os principais destaques do produto. Att.,0
Publicamos as release notes; obrigado a todos pelo apoio. Abraços,0
Notas rápidas: resumo semanal referente à última sprint. Att.,0
Favor investigar o ambiente de produção até sexta-feira.,1
Podem verificar o comprovante de pagamento referente ao ticket #4295 o quanto antes.,1
Podem providenciar o DNS referente ao ticket #9606 o quanto antes.,1
Poderiam confirmar o cadastro em até 24h!,1
Changelog 7.6 publicado. Sem necessidade de retorno.,0
Preciso que substituir o cadastro até amanhã…,1
"Boa tarde, poderiam aprovar o chamado até o fim do dia, quando puderem.",1
Estou com consumo elevado de CPU; conseguem liberar o ambiente de produção? Ref.: #5387,1
Changelog 6.0 publicado. Sem necessidade de retorno.,0
"Boa tarde, poderiam implantar o pipeline de CI/CD para esta semana, por gentileza…",1
Solicito o envio da nota fiscal NF-42196 até sexta-feira.,1
Favor priorizar o webhook em até 24h!,1
Changelog 1.8 publicado. Sem necessidade de retorno. Até mais,0
Preciso que substituir a fatura com urgência.,1
Notas rápidas: newsletter referente à última sprint… Bom trabalho a todos,0
Publicamos as atualizações do produto; obrigado a todos pelo apoio!,0
Estou com problema no envio de e-mails; conseguem enviar a configuração do servidor? Ref.: #5133,1
Preciso que implantar o webhook em até 24h.,1
Poderiam confirmar a atualização do sistema ainda hoje…,1
Estou com consumo elevado de CPU; conseguem instalar o banco de dados? Ref.: #6488,1
Conseguem retornar a nota fiscal em até 24h? Alta prioridade…,1
Atualização interna: tarefas concluídas; nenhum retorno necessário. Obrigada!,0
Poderiam confirmar o DNS para esta semana!,1
Conseguem escalar o DNS até sexta-feira? Com bastante urgência.,1
"Boa noite, pessoal! Obrigado pela ajuda de ontem! Att.",0
Parabéns a todos pelo release 5.3!. Abs.,0
"Bom dia, poderiam substituir o build até o próximo dia útil, por gentileza.",1
Para conhecimento: release notes publicada. Não requer ação! Obrigado!,0
"Oi, poderiam reembolsar a proposta até amanhã, por favor…",1
Parabéns a todos pelo release 2.7!…,0
Poderiam confirmar a senha provisória em até 24h.,1
Changelog 5.0 publicado. Sem necessidade de retorno.,0
Publicamos as atualizações do produto; obrigado a todos pelo apoio. Até mais,0
Parabéns a todos pelo release 1.7!. Obrigado!,0
Apenas informando: resumo semanal disponível… Até mais,0
Estou com erro de autenticação; conseguem habilitar o orçamento? Ref.: #5516,1
Preciso que renovar o relatório financeiro até o fim do dia.,1
Notas rápidas: release notes referente à última sprint. Abraços,0
Time! Compartilhando o resumo semanal do time. Abraços,0
Estou com problema no envio de e-mails; conseguem resetar o status do pedido? Ref.: #6165,1
Poderiam confirmar o índice de busca até sexta-feira!,1
Prezados! Compartilhando o resumo semanal do time.,0
Parabéns a todos pelo release 7.0!…,0
Precisamos reativar o comprovante de pagamento para o pedido PED-2022-4709 até 12/07.,1
Parabéns pelo lançamento da versão 3.1! Excelente trabalho do time!,0
Notas rápidas: newsletter referente à última sprint…,0
"Oi, pessoal! Obrigado pela ajuda de ontem…",0
Preciso que emitir o banco de dados o quanto antes…,1
Preciso que resetar o certificado SSL para esta semana.,1
Equipe! Compartilhando o resumo semanal do time. Abs.,0
Só passando para desejar uma ótima semana! Obrigado!,0
Segue a resumo semanal da semana com os principais destaques do produto!,0
Mensagem automática de confirmação de cadastro. Bom trabalho a todos,0
Solicito o envio da nota fiscal NF-34304 até o próximo dia útil…,1
Parabéns a todos pelo release 1.0!. Obrigado!,0
Conseguem validar o ambiente de homologação com urgência? Caráter emergencial!,1
Solicito a nota fiscal até o próximo dia útil…,1
Parabéns a todos pelo release 4.8!…,0
Conseguem confirmar o backup ainda hoje? Alta prioridade.,1
Apenas informando: status update disponível! Obrigada!,0
Preciso que reagendar o documento assim que possível.,1
Podem instalar o índice de busca referente ao ticket #4935 até 17h.,1
Notas rápidas: boletim referente à última sprint.,0
